gdp_per_capita,family,freedom,life_expectancy,social_support,score
1.39651,1.34951,0.66557,0.94143,1.6526307481474298,7.587
1.30232,1.40223,0.62877,0.94784,1.62828608371123,7.561
1.32548,1.36058,0.64938,0.87464,1.6204688447260323,7.527
1.459,1.33095,0.66973,0.88521,1.6503758771199395,7.522
1.32629,1.32261,0.63297,0.90563,1.6072986598298258,7.427
1.29025,1.31826,0.64169,0.88911,1.596977537281109,7.406
1.32944,1.28017,0.61576,0.89284,1.598456083329656,7.378
1.33171,1.28907,0.6598,0.91087,1.6053140758322417,7.364
1.25018,1.31967,0.63938,0.90837,1.573997661737799,7.286
1.33358,1.30923,0.65124,0.93156,1.5956946972663146,7.284
1.22857,1.22393,0.41319,0.91387,1.5475126913382022,7.278
0.95578,1.23788,0.63376,0.86027,1.5048556522584535,7.226
1.33723,1.29704,0.62433,0.89042,1.5771501031465116,7.2
1.02054,0.91451,0.48181,0.81444,1.4902320214228528,7.187
1.39451,1.24711,0.54604,0.86179,1.563518216036954,7.119
0.98124,1.23287,0.49049,0.69702,1.432381973824953,6.983
1.56391,1.21963,0.61583,0.91894,1.5814353928205012,6.946
1.33596,1.36948,0.61777,0.89533,1.535817948832156,6.94
1.30782,1.28566,0.5845,0.89667,1.5281739480018048,6.937
1.42727,1.12575,0.64157,0.80925,1.5404373939338825,6.901
1.26637,1.28548,0.59625,0.90943,1.513447383470059,6.867
1.36011,1.08182,0.63274,0.76276,1.5148530037784096,6.853
1.04424,1.25596,0.42908,0.72052,1.420012462102553,6.81
1.52186,1.02,0.54252,1.02525,1.563645654449898,6.798
1.06353,1.1985,0.5421,0.79661,1.4454271648849117,6.786
1.32792,1.29937,0.61477,0.89186,1.5113817777428658,6.75
1.10715,1.12447,0.44132,0.85857,1.4320555259390388,6.67
1.69042,1.0786,0.6404,0.79733,1.5473753027639563,6.611
1.27778,1.26038,0.55011,0.94579,1.4735850481612953,6.575
1.05351,1.24823,0.44974,0.78723,1.4002099376999002,6.574
1.17898,1.20643,0.46364,0.84483,1.4218275080046605,6.505
1.06166,1.2089,0.60362,0.8116,1.408633137460737,6.485
0.91861,1.24018,0.53466,0.69077,1.3578880909951754,6.477
0.9669,1.26504,0.55664,0.7385,1.373464724066162,6.455
1.39541,1.08393,0.31048,0.72025,1.4184110001530774,6.411
1.23011,1.31379,0.45951,0.95562,1.4210443557805164,6.329
1.2074,1.30203,0.60365,0.88721,1.42025170650376,6.302
1.29098,1.07617,0.3974,0.8753,1.4126195359141702,6.298
1.55422,1.16594,0.55499,0.72492,1.4613560971906998,6.295
0.99534,0.972,0.59657,0.6082,1.340954518123901,6.269
1.21183,1.18354,0.55884,0.61483,1.3611554571829874,6.168
0.76454,1.02507,0.4035,0.67737,1.2616718566448908,6.13
0.74553,1.04356,0.57733,0.64425,1.2734538731035214,6.123
0.63244,1.34043,0.65821,0.59772,1.2334507463086184,6.003
1.16891,1.26999,0.31751,0.78902,1.3233147437780814,5.995
1.27074,1.25712,0.49615,0.99111,1.3898304512916035,5.987
1.24461,0.95774,0.33208,0.96538,1.364386107031053,5.984
0.86402,0.99903,0.48574,0.79075,1.2858973470127102,5.975
1.32376,1.21624,0.45492,0.74716,1.362960791023571,5.96
1.25114,1.19777,0.26236,0.95446,1.3549004147815704,5.948
0.68133,0.97841,0.57414,0.5392,1.2164721637681448,5.89
0.59448,1.01528,0.32818,0.61826,1.1847478342395048,5.889
0.75985,1.30477,0.53899,0.66098,1.245059366987921,5.878
1.12254,1.12241,0.51649,0.64368,1.306571375269181,5.855
1.18498,1.27385,0.60855,0.87337,1.3598362942131998,5.848
1.14723,1.25745,0.21342,0.73128,1.2885974227225867,5.833
0.59325,1.14184,0.55475,0.74314,1.2237277664944766,5.828
0.90019,0.97459,0.41496,0.73017,1.26581640705941,5.824
1.03192,1.23289,0.37938,0.73608,1.287376776685888,5.813
1.12555,1.27948,0.53122,0.77903,1.325395948741106,5.791
1.12486,1.07023,0.53024,0.72394,1.3155626079878522,5.77
1.08254,0.79624,0.25883,0.78805,1.2855468262011338,5.759
1.13145,1.11862,0.41668,0.7038,1.3020162271411113,5.754
1.13764,1.23617,0.36679,0.66926,1.287515654972064,5.716
0.81038,1.15102,0.50442,0.68741,1.243515942191377,5.709
1.20806,1.07008,0.49027,0.92356,1.3481975611615193,5.695
1.20813,0.89318,0.40672,0.92356,1.3395602732457494,5.689
0.93929,1.07772,0.28579,0.61766,1.2197600489983251,5.605
0.80148,0.81198,0.24749,0.63132,1.1898500041176536,5.589
0.95847,1.22668,0.4761,0.53886,1.2267174176727123,5.548
1.00761,0.98521,0.56066,0.7095,1.2564080390583352,5.477
1.38604,1.05818,0.59608,1.01328,1.374102391088852,5.474
1.15174,1.22791,0.44888,0.77361,1.2742988559323465,5.429
0.82827,1.08708,0.46611,0.63793,1.1926345592746979,5.399
0.63216,0.91226,0.59444,0.74676,1.1784822744287717,5.36
1.06098,0.94632,0.22815,0.73172,1.2136187581483824,5.332
0.47428,1.15115,0.43477,0.65088,1.1072500143726784,5.286
0.65435,0.90432,0.34334,0.16007,1.0640818837272927,5.268
0.77042,1.10395,0.53206,0.57407,1.1613857133317607,5.253
1.02389,0.93793,0.3703,0.64045,1.1943380652048263,5.212
0.59543,0.41411,0.12102,0.51466,1.0666668080236783,5.194
0.90198,1.05392,0.40661,0.69639,1.1824462313990942,5.192
0.97438,0.90557,0.1826,0.72521,1.175112460077459,5.192
0.89012,0.94675,0.51697,0.81658,1.2021424901669786,5.14
0.47038,0.91612,0.48827,0.29924,1.0497394366860808,5.129
1.04345,0.88588,0.35068,0.7689,1.20694064159618,5.124
0.92053,1.00964,0.20107,0.74836,1.1657850540471224,5.123
1.15991,1.13935,0.51469,0.87519,1.2609251340263816,5.102
1.11312,1.09562,0.29671,0.72437,1.2086478970108983,5.098
0.70532,1.03516,0.62545,0.58114,1.1455977968582824,5.073
0.18847,0.95152,0.46582,0.43873,1.009272349127855,5.057
0.73479,0.64095,0.41691,0.60954,1.123835305236571,5.013
0.91851,1.00232,0.33457,0.73545,1.1670636375174273,5.007
0.08308,1.02626,0.34037,0.09131,0.9177280716720648,4.971
0.87867,0.80434,0.35733,0.81325,1.1667931468428385,4.959
0.83223,0.91916,0.09245,0.79081,1.1253527985868974,4.949
0.37545,1.04103,0.31767,0.07612,0.9601228053704967,4.898
0.89537,1.17202,0.57672,0.66825,1.166210661487799,4.885
0.59066,0.73803,0.59591,0.54909,1.0945811183390721,4.876
0.82819,1.3006,0.43626,0.60268,1.1305390915043225,4.874
